"pcp-dstat 6.2.0 CSV Output"
"Author:";"PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>";;;;"URL:";"https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:";"r-snort";;;;"User:";"snort-lab"
"Cmdline:";"dstat -tcvmndr --output snort_on.csv";;;;"Date:";"01 Apr 2025 04:34:06 CEST"
"system";"total usage";;;;;"procs";;;"memory usage";;;;"paging";;"dsk/total";;"system";;"net/total";;"io/total";
01-04 04:37:02;0;0.250;97.502;2.000;0;0;0;0;1928820;1955520;154656;3856172;0;0;0;288.007;1574;2562;2550.065;1078.028;0;59.002
01-04 04:37:03;0.750;1.250;98.247;0;0;0;0;10.000;1930184;1954156;154656;3856172;0;0;0;43.999;1499;2375;2497.931;979.973;0;3.000
01-04 04:37:04;0.250;0.500;99.248;0;0;0;0;5.000;1930332;1954008;154656;3856172;0;0;0;0;1441;2349;2825.946;963.982;0;0
01-04 04:37:05;0;0;99.502;0;0;0;0;0;1930332;1954008;154656;3856172;0;0;0;0;1282;2268;3022.066;1102.024;0;0
01-04 04:37:06;0.250;0.250;99.004;0;0;1;0;0;1930328;1954008;154656;3856176;0;0;0;0;1360;2403;2650.100;1086.041;0;0
01-04 04:37:07;0.250;1.000;98.496;0.250;0;0;0;0;1930328;1954008;154656;3856176;0;0;0;55.998;1425;2369;2557.901;1085.958;0;3.000
01-04 04:37:08;0.500;1.000;97.998;0;0;0;0;10.000;1931336;1953000;154656;3856176;0;0;0;0;1569;2449;21946.556;955.981;0;0
01-04 04:37:09;0.500;1.000;99.003;0;0;0;0;5.000;1931336;1953000;154656;3856176;0;0;0;0;1487;2395;7066.211;972.029;0;0
01-04 04:37:10;0.250;0;99.753;0;0;0;0;0;1929852;1954484;154656;3856176;0;0;0;8.000;1277;2265;2526.085;948.032;0;2.000
01-04 04:37:11;0.250;0;96.744;2.250;0;0;0;0;1929192;1955136;154656;3856184;0;0;0;383.977;1810;2832;2781.836;1109.934;0;87.995
01-04 04:37:12;0;0.250;99.004;0.250;0;0;0;0;1929416;1954912;154656;3856184;0;0;0;44.002;1326;2292;2606.094;1102.040;0;2.000
01-04 04:37:13;0.750;1.000;98.747;0;0;0;0;10.000;1931348;1952980;154656;3856184;0;0;0;0;1535;2395;3093.913;939.974;0;0
01-04 04:37:14;0;0.500;99.002;0;0;0;0;5.000;1930720;1953608;154656;3856184;0;0;0;0;1457;2337;2671.047;932.016;0;0
01-04 04:37:15;0.250;0;99.498;0;0;0;0;0;1931064;1953264;154656;3856184;0;0;0;0;1279;2235;2223.953;955.980;0;0
01-04 04:37:16;0.250;0;99.500;0;0;0;0;0;1930908;1953420;154656;3856184;0;0;0;0;1359;2326;11654.054;1086.005;0;0
01-04 04:37:17;0.250;0.500;98.748;0.500;0;0;0;0;1930652;1953676;154656;3856184;0;0;0;75.998;1364;2351;8433.788;1093.973;0;10.000
01-04 04:37:18;0.500;1.000;98.251;0;0;0;0;10.000;1929860;1954468;154656;3856184;0;0;0;0;1588;2429;3146.023;1118.008;0;0
01-04 04:37:19;0.500;0.250;99.503;0;0;0;0;5.000;1930108;1954220;154656;3856184;0;0;0;0;1425;2331;2456.079;972.031;0;0
01-04 04:37:20;0.500;0;99.253;0;0;0;0;0;1930108;1954220;154656;3856184;0;0;0;0;1268;2226;2080.066;956.030;0;0
01-04 04:37:21;0;0.250;99.247;0;0;0;0;0;1930332;1953996;154656;3856184;0;0;0;0;1303;2278;2605.912;1109.963;0;0
01-04 04:37:22;0;0.250;99.255;0;0;0;0;0;1930332;1953996;154656;3856184;0;0;0;32.002;1296;2263;2236.108;1110.053;0;2.000
01-04 04:37:23;0.500;0.750;98.744;0;0;0;0;9.999;1930332;1953996;154656;3856184;0;0;0;0;1501;2354;2111.865;955.939;0;0
01-04 04:37:24;0.250;1.500;97.750;0;0;0;0;5.000;1930332;1953996;154656;3856184;0;0;0;0;1630;2477;4168.984;1009.996;0;0
01-04 04:37:25;0.500;0.250;99.504;0;0;0;0;0;1930332;1953996;154656;3856184;0;0;0;0;1264;2243;2272.085;948.036;0;0
01-04 04:37:26;0;0.250;99.501;0;0;0;0;0;1930332;1953996;154656;3856184;0;0;0;0;1273;2259;2312.023;1094.011;0;0
01-04 04:37:27;0.250;0;99.248;0.250;0;0;0;0;1930332;1953996;154656;3856184;0;0;0;31.999;1303;2284;2203.949;1077.975;0;6.000
01-04 04:37:28;0.500;1.250;98.499;0;0;0;0;10.000;1931340;1952988;154656;3856184;0;0;0;0;1538;2364;2087.973;947.988;0;0
01-04 04:37:29;0.250;0.250;98.748;0;0;0;0;5.000;1931332;1952992;154656;3856188;0;0;0;0;1441;2347;2431.959;947.984;0;0
01-04 04:37:30;0.500;0.250;99.505;0;0;0;0;0;1930596;1953728;154656;3856188;0;0;0;0;1295;2251;2156.118;940.052;0;0
01-04 04:37:31;0;0.250;99.749;0;0;0;0;0;1930596;1953728;154656;3856188;0;0;0;0;1325;2302;2799.970;1239.987;0;0
01-04 04:37:32;0.500;0.250;99.006;0;0;0;0;0;1930804;1953492;154656;3856216;0;0;0;0;1370;2312;2355.134;1086.062;0;0
01-04 04:37:33;0.250;1.000;98.243;0;0;0;0;9.999;1936032;1948264;154656;3856216;0;0;0;19.999;1545;2412;9629.359;947.937;0;2.000
01-04 04:37:34;0;0.250;99.251;0;0;0;0;5.000;1935580;1948716;154656;3856216;0;0;0;32.000;1476;2371;2544.029;1012.011;0;1.000
01-04 04:37:35;0.500;0;99.251;0;0;0;0;0;1929288;1955008;154656;3856216;0;0;0;0;1282;2231;2770.029;964.010;0;0
01-04 04:37:36;0.500;0.500;99.251;0;0;0;0;0;1928108;1956188;154656;3856216;0;0;0;0;1339;2305;3257.019;1094.006;0;0
01-04 04:37:37;0.500;0.250;99.502;0;0;0;0;0;1928332;1955964;154656;3856216;0;0;0;0;1311;2278;2244.037;1102.018;0;0
01-04 04:37:38;0.500;0.750;97.995;0.250;0;0;0;10.000;1929340;1954956;154656;3856216;0;0;0;71.996;1564;2407;2079.898;939.954;0;10.000
01-04 04:37:39;0;0.750;99.251;0;0;0;0;5.000;1928788;1955508;154656;3856216;0;0;0;0;1435;2348;2424.018;940.007;0;0
01-04 04:37:40;0.250;1.250;98.254;0;0;0;0;0;1928932;1955364;154656;3856216;0;0;0;0;1413;2338;2181.098;948.043;0;0
01-04 04:37:41;0.500;0.250;99.495;0;0;0;0;0;1928572;1955724;154656;3856216;0;0;0;8.000;1370;2327;2457.879;1101.946;0;1.000
01-04 04:37:42;0.250;0.250;99.504;0;0;0;0;0;1927872;1956424;154656;3856216;0;0;0;0;1281;2248;2381.098;1078.045;0;0
01-04 04:37:43;0.500;0.750;98.241;0;0;0;0;9.999;1935632;1948664;154656;3856216;0;0;0;27.997;1575;2417;3318.697;1381.874;0;2.000
01-04 04:37:44;0.500;0.500;98.753;0;0;0;0;6.000;1929236;1955060;154656;3856216;0;0;0;0;1453;2357;2817.088;964.030;0;0
01-04 04:37:45;0;0;99.756;0;0;0;0;0;1929236;1955060;154656;3856216;0;0;0;0;1277;2238;2296.132;956.055;0;0
01-04 04:37:46;0;0.250;99.245;0;0;0;0;0;1929188;1955108;154656;3856216;0;0;0;0;1313;2283;3788.793;1101.940;0;0
01-04 04:37:47;0.500;0;99.751;0;0;0;0;0;1928932;1955364;154656;3856216;0;0;0;0;1282;2252;2212.026;1086.013;0;0
01-04 04:37:48;0.250;1.000;98.000;0.500;0;0;0;10.000;1936220;1948076;154660;3856212;0;0;0;32.000;1613;2478;15658.932;931.996;0;6.000
01-04 04:37:49;0.500;0.750;98.750;0;0;0;0;5.000;1935964;1948328;154660;3856216;0;0;0;0;1438;2354;2622.001;964.000;0;0
01-04 04:37:50;0.250;0;99.754;0;0;0;0;0;1936028;1948264;154660;3856216;0;0;0;0;1259;2233;2180.095;948.041;0;0
01-04 04:37:51;0;0.250;99.248;0;0;0;0;0;1935932;1948360;154660;3856216;0;0;0;0;1280;2263;2395.948;1085.976;0;0
01-04 04:37:52;0.250;0;99.754;0;0;0;0;0;1935932;1948360;154660;3856216;0;0;0;0;1282;2252;2172.081;1062.039;0;0
01-04 04:37:53;0.250;1.000;97.990;0;0;0;0;9.999;1936904;1947388;154660;3856216;0;0;0;15.998;1538;2393;2055.780;931.900;0;2.000
01-04 04:37:54;0.250;0.250;99.258;0;0;0;0;5.000;1937156;1947136;154660;3856216;0;0;0;0;1427;2337;2456.199;956.078;0;0
01-04 04:37:55;0;0;99.250;0;0;0;0;0;1937156;1947136;154660;3856216;0;0;0;0;1296;2283;8734.972;1101.996;0;0
01-04 04:37:56;0.500;0.750;99.747;0;0;0;0;0;1937156;1947136;154660;3856216;0;0;0;0;1317;2281;6173.839;1085.972;0;0
01-04 04:37:57;0.500;1.000;98.252;0;0;0;0;0;1937156;1947136;154660;3856216;0;0;0;0;1443;2370;2776.059;1086.023;0;0
01-04 04:37:58;0.250;1.250;98.247;0;0;0;0;10.000;1938164;1946128;154660;3856216;0;0;0;23.999;1524;2405;2224.926;947.969;0;4.000
01-04 04:37:59;0.250;0.250;99.252;0;0;0;0;6.000;1938416;1945876;154660;3856216;0;0;0;0;1501;2375;2640.048;1046.019;0;0
01-04 04:38:00;0.250;0.250;99.252;0;0;0;0;0;1938416;1945876;154660;3856216;0;0;0;0;1273;2240;2120.037;964.017;0;0
01-04 04:38:01;0.250;0.250;99.496;0;0;0;0;0;1938104;1946188;154660;3856216;0;0;0;0;1311;2292;2303.914;1085.959;0;0
01-04 04:38:02;0.500;0;99.503;0;0;0;0;0;1938104;1946188;154660;3856216;0;0;0;0;1288;2264;2172.055;1062.027;0;0
01-04 04:38:03;0.250;0.750;98.248;0;0;0;0;10.000;1938356;1945936;154660;3856216;0;0;0;0;1512;2365;2079.950;939.978;0;0
01-04 04:38:04;0;0.500;99.003;0.250;0;0;0;5.000;1938352;1945936;154660;3856220;0;0;0;16.000;1459;2388;2484.064;940.024;0;2.000
01-04 04:38:05;0.500;0;99.497;0;0;1;0;0;1938352;1945936;154660;3856220;0;0;0;0;1272;2250;2287.938;963.974;0;0
01-04 04:38:06;0.250;0.250;99.754;0;0;0;0;0;1937908;1946380;154660;3856220;0;0;0;0;1297;2269;2312.090;1110.043;0;0
01-04 04:38:07;0.500;0;99.249;0;0;0;0;0;1937900;1946388;154660;3856220;0;0;0;0;1275;2246;2453.973;1085.988;0;0
01-04 04:38:08;0;0.750;98.245;0;0;0;0;10.000;1938144;1946144;154660;3856220;0;0;0;0;1536;2394;2467.884;1093.949;0;0
01-04 04:38:09;0.500;1.000;99.000;0;0;0;0;5.000;1938144;1946144;154660;3856220;0;0;0;16.000;1438;2374;2638.009;1010.003;0;2.000
01-04 04:38:10;0;0;99.508;0;0;0;0;0;1938144;1946144;154660;3856220;0;0;0;0;1274;2248;2104.159;964.073;0;0
01-04 04:38:11;0.250;0.250;99.746;0;0;0;0;0;1938144;1946144;154660;3856220;0;0;0;0;1280;2272;2589.896;1093.956;0;0
01-04 04:38:12;0.500;0;98.753;0;0;0;0;0;1938144;1946144;154660;3856220;0;0;0;8.000;1301;2278;3000.078;1078.028;0;2.000
01-04 04:38:13;0.500;2.000;97.495;0;0;0;0;9.999;1938396;1945892;154660;3856220;0;0;0;0;1645;2476;2843.846;971.947;0;0
01-04 04:38:14;0;0.250;98.751;0.500;0;0;0;5.000;1938144;1946144;154660;3856220;0;0;0;44.000;1457;2381;2781.017;980.006;0;6.000
01-04 04:38:15;0.500;0.250;99.506;0;0;0;0;0;1938144;1946144;154660;3856220;0;0;0;0;1316;2291;8430.541;980.063;0;0
01-04 04:38:16;0.250;0.250;99.499;0;0;0;0;0;1938144;1946144;154660;3856220;0;0;0;0;1267;2268;2311.974;1093.988;0;0
01-04 04:38:17;0.250;0.250;99.752;0;0;0;0;0;1938144;1946144;154660;3856220;0;0;0;0;1264;2251;2440.040;1070.018;0;0
01-04 04:38:18;0.250;0.750;97.995;0;0;0;0;9.999;1937892;1946396;154660;3856220;0;0;0;0;1491;2352;2047.897;923.954;0;0
01-04 04:38:19;0.250;0.500;99.250;0;0;0;0;5.000;1937256;1947024;154668;3856220;0;0;0;16.000;1425;2365;2516.000;940.000;0;2.000
01-04 04:38:20;0.500;0;99.255;0;0;0;0;0;1937256;1947024;154668;3856220;0;0;0;0;1263;2240;2594.137;948.050;0;0
01-04 04:38:21;0;0.750;99.247;0;0;0;0;0;1937256;1947024;154668;3856220;0;0;0;0;1296;2283;2715.904;1247.956;0;0
01-04 04:38:22;1.000;0.250;98.500;0;0;0;0;0;1937356;1946924;154668;3856220;0;0;0;0;2306;3442;23622.001;9378.000;0;0
01-04 04:38:23;1.250;1.250;96.997;0;0;0;0;10.000;1938488;1945792;154668;3856220;0;0;0;0;2468;3550;35213.805;9275.685;0;0
01-04 04:38:24;0;0.500;98.500;0;0;0;0;5.000;1938340;1945940;154668;3856220;0;0;0;20.000;1479;2380;2871.998;1115.999;0;3.000
01-04 04:38:25;2.000;0.750;97.251;0;0;0;0;15.000;1938232;1946048;154668;3856220;0;0;0;0;2244;3278;30608.352;7034.081;0;0
01-04 04:38:26;0.250;1.750;98.249;0;0;0;0;9.000;1939800;1944480;154668;3856220;0;0;0;0;1638;2538;5219.956;1845.984;0;0
01-04 04:38:27;1.000;0.500;97.751;0;0;0;0;13.000;1933108;1951172;154668;3856220;0;0;0;0;1737;2537;8406.085;1620.016;0;0
01-04 04:38:28;4.500;2.500;92.498;0.500;0;0;0;20.000;1830848;2053280;154668;3856368;0;0;0;31.999;2296;2711;7122.858;3003.940;0;3.000
01-04 04:38:29;0.500;1.250;97.999;0;0;0;0;14.000;1831956;2052172;154668;3856368;0;0;0;0;648;505;2979.965;1165.986;0;0
01-04 04:38:30;0.250;0.250;99.255;0;0;1;0;3.000;1832148;2051980;154668;3856368;0;0;0;0;403;361;2336.113;980.047;0;0
01-04 04:38:31;0.500;1.500;97.750;0;0;0;0;9.000;1832400;2051728;154668;3856368;0;0;0;0;622;507;2476.008;1134.004;0;0
01-04 04:38:32;0.250;0.750;99.503;0;0;0;0;3.000;1833112;2050988;154668;3856396;0;0;0;0;469;390;10501.281;1280.034;0;0
01-04 04:38:33;0.250;1.250;90.495;7.500;0;0;0;10.999;1833304;2050796;154668;3856396;0;0;0;1323.922;2096;1927;9933.412;4133.755;0;231.986
01-04 04:38:34;1.000;1.500;97.500;0;0;0;0;11.000;1833852;2050248;154668;3856396;0;0;0;4.000;913;818;10621.957;3479.986;0;1.000
01-04 04:38:35;0.500;0.250;98.753;0;0;0;0;9.000;1834576;2049524;154668;3856396;0;0;0;0;507;424;2572.067;1134.030;0;0
01-04 04:38:36;0.250;1.250;98.001;0;0;0;0;12.000;1834576;2049524;154668;3856396;0;0;0;0;666;508;7886.074;1110.010;0;0
01-04 04:38:37;0.250;0;99.750;0;0;0;0;3.000;1834544;2049556;154668;3856396;0;0;0;0;388;345;3322.986;1357.994;0;0
01-04 04:38:38;0.500;1.500;98.497;0;0;0;0;10.000;1834796;2049304;154668;3856396;0;0;0;0;498;391;2211.938;963.973;0;0
01-04 04:38:39;0.250;0;99.000;0.250;0;0;0;5.000;1834760;2049336;154668;3856400;0;0;0;68.000;409;382;2593.005;980.002;0;2.000
01-04 04:38:40;0.750;0;99.501;0;0;0;0;0;1834760;2049336;154668;3856400;0;0;0;0;262;262;2381.015;980.006;0;0
01-04 04:38:41;0.250;0;99.504;0;0;0;0;0;1834344;2049752;154668;3856400;0;0;0;0;499;579;7880.322;3302.135;0;0
01-04 04:38:42;0;0;99.749;0;0;0;0;0;1834344;2049752;154668;3856400;0;0;0;0;218;255;2359.988;1109.994;0;0
01-04 04:38:43;0;1.250;98.493;0;0;0;0;9.999;1834564;2049532;154668;3856400;0;0;0;7.999;503;416;2179.848;947.934;0;2.000
01-04 04:38:44;0.750;0.250;99.002;0;0;0;0;5.000;1834564;2049532;154668;3856400;0;0;0;28.001;436;405;3500.087;1126.028;0;2.000
01-04 04:38:45;0.250;0.250;99.755;0;0;0;0;0;1834564;2049532;154668;3856400;0;0;0;0;354;387;4652.232;1764.088;0;0
01-04 04:38:46;0.750;0.250;98.245;0;0;0;0;0;1836168;2047928;154668;3856400;0;0;0;0;1295;1577;28878.524;11509.412;0;0
01-04 04:38:47;0;1.000;98.755;0;0;0;0;0;1836360;2047736;154668;3856400;0;0;0;0;397;383;3327.173;1608.084;0;0
